,name,price,km,fuel_type,location
214,2018 Tata Hexa XT 4x2 7 STR,"₹12,60,000","49,888 KMs",Diesel,Mumbai
215,2018 Maruti Suzuki Swift ZDi Plus,"₹7,94,999","58,171 KMs",Diesel,Mumbai
216,2017 Hyundai Xcent E Plus CRDi,"₹5,10,000","46,765 KMs",Diesel,Lucknow
217,2018 Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"₹19,75,000","19,806 KMs",Diesel,Mumbai
218,2015 Maruti Suzuki Ertiga Vxi CNG,"₹6,50,000","68,154 KMs",CNG,Delhi
219,2014 Maruti Suzuki Swift VXi,"₹4,45,000","67,206 KMs",Petrol,Chennai
220,2013 Maruti Suzuki Wagon R 1.0 VXi,"₹3,45,000","68,827 KMs",Petrol,Chennai
221,2019 Honda Jazz VX Petrol,"₹7,20,000","11,633 KMs",Petrol,Chennai
222,2021 Mercedes-Benz C-Class C 220d Progressive [2018-2019],"₹51,00,000","7,671 KMs",Diesel,Mumbai
223,2020 Maruti Suzuki S-Cross Delta,"₹8,50,000","19,000 KMs",Petrol,Pune
224,2019 MG Hector Sharp 2.0 Diesel [2019-2020],"₹18,99,000","18,627 KMs",Diesel,Bangalore
225,2018 Honda City VX,"₹10,68,000","20,281 KMs",Petrol,Bangalore
226,2018 Volkswagen Vento Highline Plus 1.2 (P) AT 16 Alloy,"₹8,60,000","54,314 KMs",Petrol,Pune
227,2017 Toyota Innova Crysta 2.4 ZX 7 STR [2016-2020],"₹18,51,000","92,000 KMs",Diesel,Raipur
228,2018 Toyota Fortuner 2.8 4x2 MT [2016-2020],"₹39,00,000","15,632 KMs",Diesel,Bangalore
229,2017 Jeep Compass Limited 2.0 Diesel [2017-2020],"₹14,00,000","50,000 KMs",Diesel,Haldwani
230,2015 Hyundai Elite i20 Sportz 1.2,"₹5,25,000","58,000 KMs",Petrol,Pune
231,2018 Maruti Suzuki Swift VXi [2014-2017],"₹5,65,000","35,500 KMs",Petrol,Delhi
232,2017 Hyundai Elite i20 Sportz 1.2,"₹5,90,000","60,864 KMs",Petrol,Chennai
233,2016 Hyundai Creta SX Plus 1.6  Petrol,"₹8,90,000","55,330 KMs",Petrol,Mumbai
234,2017 Maruti Suzuki Celerio X Zxi [2017-2019],"₹5,00,000","37,247 KMs",Petrol,Aurangabad
235,2019 Tata Tiago Revotron XZ w/o Alloy [2018-2019],"₹4,65,000","35,896 KMs",Petrol,Lucknow
236,2016 Honda Amaze 1.2 VX i-VTEC,"₹5,90,000","24,382 KMs",Petrol,Mumbai
237,2017 Honda Jazz SV Petrol,"₹5,90,000","63,675 KMs",Petrol,Chennai
238,2019 Hyundai Santro Sportz [2018-2020],"₹5,10,000","27,305 KMs",Petrol,Kanpur
239,2017 Mercedes-Benz C-Class C 200 Avantgarde,"₹30,50,000","32,060 KMs",Petrol,Mumbai
240,2018 Mercedes-Benz GLA 200 d Sport,"₹29,50,000","24,811 KMs",Diesel,Mumbai
241,2017 Maruti Suzuki Swift Dzire ZDI AMT,"₹6,94,999","81,294 KMs",Diesel,Mumbai
242,2019 Mercedes-Benz GLE 250 d,"₹57,50,000","58,239 KMs",Diesel,Mumbai
243,2019 BMW 3 Series 320d Luxury Line,"₹32,50,000","40,440 KMs",Diesel,Mumbai
244,2021 Mahindra Marazzo M6 Plus 7 STR,"₹14,00,000","28,495 KMs",Diesel,Mumbai
245,2018 Tata Hexa XT 4x2 7 STR,"₹12,60,000","49,888 KMs",Diesel,Mumbai
246,2018 Maruti Suzuki Swift ZDi Plus,"₹7,94,999","58,171 KMs",Diesel,Mumbai
247,2017 Hyundai Xcent E Plus CRDi,"₹5,10,000","46,765 KMs",Diesel,Lucknow
248,2018 Toyota Innova Crysta 2.4 VX 7 STR [2016-2020],"₹19,75,000","19,806 KMs",Diesel,Mumbai
249,2015 Maruti Suzuki Ertiga Vxi CNG,"₹6,50,000","68,154 KMs",CNG,Delhi
250,2014 Maruti Suzuki Swift VXi,"₹4,45,000","67,206 KMs",Petrol,Chennai
251,2013 Maruti Suzuki Wagon R 1.0 VXi,"₹3,45,000","68,827 KMs",Petrol,Chennai
252,2019 Honda Jazz VX Petrol,"₹7,20,000","11,633 KMs",Petrol,Chennai
253,2021 Mercedes-Benz C-Class C 220d Progressive [2018-2019],"₹51,00,000","7,671 KMs",Diesel,Mumbai
254,2020 Maruti Suzuki S-Cross Delta,"₹8,50,000","19,000 KMs",Petrol,Pune
255,2016 Maruti Suzuki Omni 5 STR BS-IV,"₹2,10,000","50,000 KMs",Petrol,Ranchi
256,2008 Hyundai i10 Magna 1.2,"₹1,50,000","37,000 KMs",Petrol,Kanpur
